COUNTRY,INDICATORs,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Advanced Economies,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",57111.097,58169.286,59021.211,56421.826,59761.818,61219.799,61791.226,62503.028,63263.849,64141.747
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",57236.582,58410.439,59180.813,57912.469,61328.619,62485.368,62837.927,63878.288,64722.24,65718.222
United Kingdom,"All Items, Consumer price index (CPI), Period average",103.361,105.922,107.819,108.736,111.551,121.665,130.55,133.853,138.406,141.93
G7,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",58366.478,59372.548,60218.695,57439.674,60753.46,62114.075,62843.461,63485.895,64196.561,65102.803
United States,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",66434.386,68040.59,69474.79,67462.138,71365.337,72768.498,74294.67,75676.397,76841.861,78251.986
United Kingdom,"All Items, Consumer price index (CPI), End-of-period (EoP)",104.929,107.137,108.532,109.171,115.051,127.164,132.242,135.552,140.093,142.895
United States,"All Items, Consumer price index (CPI), Period average",245.121,251.1,255.653,258.856,270.968,292.625,304.704,313.698,322.214,330.06
United Kingdom,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",53464.579,53892.698,54472.18,48656.353,52872.448,54963.572,54641.038,54475.393,54681.099,54942.382
United States,"All Items, Consumer price index (CPI), End-of-period (EoP)",248.28,253.048,258.353,262.389,281.782,299.845,309.566,318.015,326.435,333.626
Denmark,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",65760.396,66607.122,67457.831,66066.253,70151.526,70062.561,69783.866,71864.965,72694.427,73750.418
Germany,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",62851.784,63472.119,64053.775,61467.351,63974.512,64708.837,63561.218,63071.756,63080.849,63590.331
Belgium,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",59844.235,60717.461,61891.539,58582.798,62045.209,64338.08,64417.057,64664.364,65078.308,65464.187
Austria,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",63093.489,64151.799,65467.719,61040.543,63745.611,66764.028,65207.844,64182.255,64194.893,64523.712
Germany,"All Items, Consumer price index (CPI), End-of-period (EoP)",102.9,104.8,106.233,105.6,111.367,123.4,127.067,130.267,132.545,135.071
Belgium,"All Items, Consumer price index (CPI), Period average",104.036,106.437,107.768,108.224,111.706,123.246,126.073,131.523,134.905,136.613
Austria,"All Items, Consumer price index (CPI), End-of-period (EoP)",126.632,128.804,131.157,132.485,137.505,151.997,160.589,164.016,169.964,173.508
Austria,"All Items, Consumer price index (CPI), Period average",125.427,128.088,129.999,131.809,135.446,147.121,158.466,163.089,168.899,172.831
Belgium,"All Items, Consumer price index (CPI), End-of-period (EoP)",105.08,107.39,108.38,108.76,115.93,127.77,128.45,134.12,134.509,137.348
"San Marino, Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)",101.88,102.68,103.19,102.8,106.11,113.86,117.32,119.18,121.611,123.986
Denmark,"All Items, Consumer price index (CPI), End-of-period (EoP)",101.3,102.1,103,103.5,107.1,117.5,118,120.2,122.36,124.627
Germany,"All Items, Consumer price index (CPI), Period average",102.067,104.042,105.45,105.842,109.242,118.708,125.867,129,131.728,134.041
France,"All Items, Consumer price index (CPI), End-of-period (EoP)",102.007,104.257,105.59,105.717,109.29,116.95,121.873,123.947,125.758,127.148
Denmark,"All Items, Consumer price index (CPI), Period average",101.075,101.792,102.533,102.875,104.875,113.825,117.642,119.133,121.427,123.922
France,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",53510.498,54186.428,55100.571,50772.272,54017.12,55233.83,55975.351,56434.847,56654.894,57011.274
France,"All Items, Consumer price index (CPI), Period average",101.474,103.604,104.949,105.503,107.683,114.04,120.498,123.29,124.699,126.602
Luxembourg,"All Items, Consumer price index (CPI), End-of-period (EoP)",102.92,104.93,106.98,106.81,112.83,120.02,123.93,125.97,127.491,132.791
Italy,"All Items, Consumer price index (CPI), Period average",101.267,102.525,103.175,103.025,105.025,114.2,120.942,122.258,124.284,126.786
Italy,"All Items, Consumer price index (CPI), End-of-period (EoP)",102.1,103.3,103.8,103.5,107.8,121.1,121.7,123.4,125.289,128.633
"San Marino, Republic of","All Items, Consumer price index (CPI), Period average",101.433,102.613,103.098,102.96,104.623,110.195,116.73,118.182,120.592,122.947
Italy,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",49423.258,49939.059,50254.915,45932.731,50377.31,52990.412,53399.304,53810.507,54137.903,54600.141
Luxembourg,"All Items, Consumer price index (CPI), Period average",102.15,104.212,105.932,105.94,109.621,118.553,122.023,124.772,127.589,130.344
"San Marino, Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",60293.285,60873.516,61786.457,57271.906,65376.104,70252.436,70319.327,70592.45,71085.119,71793.844
Luxembourg,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",135846.911,135436.345,136464.555,133119.873,140411.161,136575.521,133522.812,131760.309,130696.846,130815.252
Canada,"All Items, Consumer price index (CPI), Period average",130.425,133.383,135.983,136.958,141.608,151.208,157.083,160.85,164.007,167.336
"Liechtenstein, Principality of","All Items, Consumer price index (CPI), End-of-period (EoP)",99.563,100.012,100.448,100.167,100.42,102.127,103.961,105.019,105.175,105.761
Sweden,"All Items, Consumer price index (CPI), End-of-period (EoP)",103.213,105.506,107.32,107.762,111.984,123.451,127.189,129.415,131.486,133.852
Sweden,"All Items, Consumer price index (CPI), Period average",103.029,105.125,106.935,107.642,110.496,119.399,126.454,128.988,131.963,134.074
Norway,"All Items, Consumer price index (CPI), End-of-period (EoP)",106.1,109.8,111.3,112.9,118.9,125.9,131.9,134.8,137.766,140.521
"Netherlands, The","All Items, Consumer price index (CPI), End-of-period (EoP)",102.01,103.84,106.64,107.58,114.52,127.28,128.72,133.91,137.211,140.158
Norway,"All Items, Consumer price index (CPI), Period average",114.551,117.718,120.27,121.817,126.061,133.327,140.684,145.109,148.592,152.158
"Netherlands, The","All Items, Consumer price index (CPI), Period average",101.4,103.02,105.773,106.943,109.966,122.746,127.8,131.919,135.713,139.037
Norway,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",87194.517,87361.693,87801.559,86231.998,89096.382,90979.379,90085.089,91126.875,91503.116,92274.623
"Netherlands, The","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",66581.923,67692.233,68844.115,65698.493,69551.931,72556.025,71226.92,71468.138,72070.37,72565.376
Sweden,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",59771.656,60176.034,61163.213,59681.647,62361.738,62729.171,62422.288,62720.194,62665.944,63379.236
"Andorra, Principality of","All Items, Consumer price index (CPI), Period average",96.777,97.741,98.259,98.35,99.999,106.202,112.157,115.604,118.127,120.223
"Andorra, Principality of","All Items, Consumer price index (CPI), End-of-period (EoP)",97.56,98.05,98.98,98.44,101.67,108.94,113.91,116.88,119.218,121.244
Japan,"All Items, Consumer price index (CPI), Period average",98.578,99.554,100.021,99.994,99.759,102.249,105.59,108.482,112.048,114.451
"Liechtenstein, Principality of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",159438.697,163823.991,158747.087,149100.715,175785.39,164634.181,170998.864,172161.457,172478.102,173650.752
Canada,"All Items, Consumer price index (CPI), End-of-period (EoP)",131.467,134.167,136.933,138,144.533,154.067,158.967,162,165.214,168.716
Switzerland,"All Items, Consumer price index (CPI), End-of-period (EoP)",100.266,100.988,101.179,100.394,101.978,104.921,106.757,107.447,107.604,108.25
Switzerland,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",78716.777,80358.995,80713.476,78304.024,82058.002,83953.641,83842.933,83592.035,83754.645,84224.664
Switzerland,"All Items, Consumer price index (CPI), Period average",99.861,100.795,101.161,100.428,101.014,103.877,106.095,107.219,107.371,107.967
Canada,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",55896.173,56630.233,56872.137,53377.735,56223.015,57606.857,56874.101,56108.03,56174.384,57047.204
