COUNTRY,INDICATOR,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Liechtenstein, Principality of","Employed persons, Persons for countries / Index for country groups",,,,,,,,,,,,,,,,,,,,,0.028,0.03,0.03,0.03,0.031,0.031,0.032,0.033,0.035,0.034,0.034,0.035,0.036,0.036,0.037,0.037,0.037,0.039,0.04,0.041,0.04,0.041,0.043,0.043,0.044,0.045,0.046,,,,
Canada,"Employed persons, Persons for countries / Index for country groups",10.98,11.304,10.951,11.024,11.302,11.657,12.004,12.332,12.711,12.995,13.084,12.855,12.73,12.797,13.061,13.297,13.419,13.705,14.047,14.408,14.766,14.938,15.284,15.653,15.923,16.13,16.42,16.761,16.988,16.756,16.984,17.227,17.439,17.66,17.731,17.856,17.973,18.377,18.711,19.065,18.073,18.973,19.748,20.341,20.723,21.009,21.08,,,,
Honduras,"Gross domestic product (GDP), Current prices, Per capita, Domestic currency",2160.861,2133.804,2183.575,2222.247,2366.597,2464.85,2574.283,2724.965,2938.81,3271.4,4085.202,4847.531,5182.391,5951.169,7034.834,8982.637,10510.282,12478.772,13857.649,14388.968,16222.383,17538.099,18640.736,20097.297,22176.101,24634.37,27021.214,29911.848,32880.388,33816.686,35982.817,39504.869,41819.398,42795.761,46298.853,50522.27,53480.161,57588.828,59915.056,62416.071,57739.11,66813.898,74749.009,80686.569,86300.122,95066.366,100495.041,106338.384,112815.742,119722.508,126957.554
Honduras,"Population, Persons for countries / Index for country groups",3.673,3.79,3.908,4.029,4.154,4.283,4.411,4.544,4.68,4.816,4.955,5.099,5.245,5.394,5.549,5.709,5.875,6.046,6.22,6.397,6.575,6.752,6.929,7.106,7.283,7.459,7.634,7.809,7.981,8.151,8.317,8.481,8.641,8.799,8.956,9.113,9.273,9.436,9.602,9.77,9.942,10.117,10.294,10.475,10.659,10.846,11.037,11.231,11.428,11.629,11.833
"Bahamas, The","Population, Persons for countries / Index for country groups",0.211,0.215,0.22,0.225,0.23,0.234,0.238,0.242,0.247,0.251,0.255,0.259,0.264,0.269,0.273,0.279,0.284,0.288,0.293,0.298,0.304,0.308,0.313,0.318,0.323,0.328,0.332,0.337,0.342,0.347,0.351,0.355,0.359,0.362,0.366,0.37,0.373,0.377,0.381,0.385,0.389,0.394,0.399,0.404,0.408,0.413,0.417,0.421,0.425,0.429,0.434
Dominica,"Population, Persons for countries / Index for country groups",,0.074,0.074,0.073,0.073,0.073,0.072,0.072,0.072,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.07,0.069,0.07,0.07,0.071,0.071,0.069,0.07,0.072,0.073,0.074,0.074,0.074,0.075,0.075,0.076,0.076,0.076,0.077,0.077
Puerto Rico,"Population, Persons for countries / Index for country groups",3.203,3.229,3.257,3.286,3.317,3.349,3.382,3.417,3.454,3.492,3.528,3.551,3.575,3.6,3.627,3.655,3.685,3.716,3.748,3.782,3.811,3.819,3.824,3.826,3.827,3.821,3.805,3.783,3.761,3.74,3.722,3.679,3.634,3.593,3.535,3.474,3.411,3.3,3.2,3.2,3.159,3.2,3.2,3.206,3.177,3.175,3.174,3.172,3.171,3.169,3.168
Puerto Rico,"Employed persons, Persons for countries / Index for country groups",0.76,0.742,0.709,0.731,0.773,0.776,0.834,0.88,0.938,0.952,0.973,0.981,0.992,1.011,1.035,1.075,1.111,1.134,1.14,1.143,1.16,1.129,1.16,1.184,1.205,1.225,1.269,1.232,1.186,1.102,1.061,1.025,1.022,1,0.976,0.984,0.986,0.973,0.982,1.001,1.012,1.078,1.117,1.131,1.152,1.131,1.123,,,,
Qatar,"Population, Persons for countries / Index for country groups",0.245,0.265,0.285,0.306,0.326,0.345,0.362,0.377,0.392,0.408,0.477,0.485,0.49,0.492,0.495,0.501,0.512,0.529,0.55,0.572,0.594,0.612,0.63,0.66,0.72,0.821,0.968,1.152,1.554,1.639,1.715,1.733,1.833,2.004,2.216,2.438,2.618,2.725,2.76,2.799,2.834,2.748,2.932,3.063,3.094,3.109,3.125,3.14,3.156,3.172,3.188
Sri Lanka,"Population, Persons for countries / Index for country groups",15.553,15.763,15.962,16.148,16.322,16.482,16.645,16.811,16.98,17.151,17.326,17.536,17.737,17.925,18.094,18.243,18.367,18.471,18.565,18.663,18.778,18.912,19.062,19.224,19.387,19.545,19.696,19.842,19.984,20.124,20.262,20.398,20.425,20.585,20.778,20.97,21.203,21.444,21.67,21.803,21.919,22.156,22.396,22.638,22.882,,,,,,
Sierra Leone,"Population, Persons for countries / Index for country groups",3.547,3.634,3.71,3.797,3.819,3.895,3.982,4.069,4.157,4.254,4.32,4.349,4.348,4.329,4.31,4.304,4.313,4.335,4.381,4.462,4.585,4.754,4.971,5.178,5.356,5.502,5.624,5.749,5.895,6.056,6.223,6.387,6.551,6.714,6.876,7.038,7.205,7.379,7.555,7.732,7.913,8.095,8.277,8.461,8.642,8.82,9.002,9.187,9.377,9.57,9.767
